image,produto,preco,cents,loja,reviews rating number,reviews amount
https://http2.mlstatic.com/D_NQ_NP_996495-MLB47690337979_092021-W.webp,Arandela Duo Blindada Efeito 2 Fachos Duplo Led 4w 3000k Cor Preto,37,24,,4.8,(61)
https://http2.mlstatic.com/D_NQ_NP_985476-MLB51183376582_082022-W.webp,Luminaria Parede Arandelas Externas Arandela Tartaruga Preto,29,40,,4.5,(63)
https://http2.mlstatic.com/D_NQ_NP_861230-MLB73927067811_012024-W.webp,Arandela 2 Focos E Frisos Externa Interna Parede Ar1015 Full,26,90,por Ideallume,4.7,(117)
https://http2.mlstatic.com/D_NQ_NP_787420-MLB72087828251_102023-W.webp,Arandela Slim 1 Foco Externa Parede Alumínio Ar1111 Full,25,90,por Ideallume,4.0,(17)
https://http2.mlstatic.com/D_NQ_NP_740809-MLU75861207841_042024-W.webp,Arandela Slim Globo 10 Jabuticaba Preto Fosco C/ Led,78,90,,,
https://http2.mlstatic.com/D_NQ_NP_610838-MLB50318671777_062022-W.webp,4 Arandelas Tartaruga Led 15w Ip65 Bivolt Interna/externa Cor Branco 110V/220V,73,20,,4.7,(86)
https://http2.mlstatic.com/D_NQ_NP_851995-MLU69349476314_052023-W.webp,Luminária Tartaruga Led Sobrepor Avant 12w 3000k Ip65 110V/220V,22,77,por MG Solucoes,4.4,(47)
https://http2.mlstatic.com/D_NQ_NP_853130-MLU76332287975_052024-W.webp,Arandela Externa Slim 2 Focos 3 Frisos Parede Ar915 Full Bivolt,24,90,por Ideallume,,
https://http2.mlstatic.com/D_NQ_NP_926166-MLU74085578596_012024-W.webp,Arandela Mini Slim Externa Moderna Alumínio MF143 Marrom,25,19,por Forteled,4.5,(107)
https://http2.mlstatic.com/D_NQ_NP_955140-MLA72853953441_112023-W.webp,Luminária arandela de parede Starlumen ST294 cor preto 110V/220V,35,52,por Starlumen,4.8,(44)
https://http2.mlstatic.com/D_NQ_NP_775895-MLU72362315461_102023-W.webp,Arandela Externa Luminária de Parede Alumínio 2 Frisos Branco G9 MF115 110V/220V,27,49,por Forteled,4.6,(235)
https://http2.mlstatic.com/D_NQ_NP_677843-MLU75127663217_032024-W.webp,Arandela Colonial Clássica 4 Faces Em Alumínio - Preta Cor Preto 110V/220V,160,49,,4.8,(13)
https://http2.mlstatic.com/D_NQ_NP_767636-MLB51699614194_092022-W.webp,Arandela Retrô P/ Tempo Áreas Externas Parede Corredor Poste Cor Escovado 110V/220V,33,95,,4.5,(1184)
https://http2.mlstatic.com/D_NQ_NP_678854-MLU75009973982_032024-W.webp,Arandela Led Eclipse 12w Luz Indireta Amarela 3000k Ip65 Cor Branco 110V/220V,78,90,,5.0,(3)
https://http2.mlstatic.com/D_NQ_NP_713116-MLU73470867984_122023-W.webp,Arandela Box Com Abas Efeito Luminária Externa + Led Cor Branco Quente,69,90,por DAZ Iluminacao,4.4,(67)
https://http2.mlstatic.com/D_NQ_NP_951906-MLB74110406020_012024-W.webp,Luminaria Elgin Tartaruga led  6500k bivolt 8w  ,19,90,,4.8,(24)
https://http2.mlstatic.com/D_NQ_NP_636348-MLU70242777457_062023-W.webp,Arandela Externa Luminária Alumínio 2 Focos E 2 Frisos Megaforte Iluminação Mf150 Preto,42,79,por Forteled,4.8,(22)
https://http2.mlstatic.com/D_NQ_NP_767118-MLA72597535646_112023-W.webp,Luminária arandela led de parede Starlumen ST2772 - SLIM 3 FRISOS,34,4,por Starlumen,4.6,(116)
https://http2.mlstatic.com/D_NQ_NP_989489-MLU75734775974_042024-W.webp,Arandela Colonial Vintage Retrô Alumínio Toulouse Ouro Velho Cor Ouro-velho 110V/220V,210,99,,4.9,(19)
